Cliente,Fecha
cliente_49920,2025-05-01
cliente_27164,2025-05-01
cliente_39915,2025-05-01
cliente_38736,2025-05-01
cliente_24579,2025-05-01
cliente_31622,2025-05-01
cliente_86124,2025-05-01
cliente_33441,2025-05-01
cliente_13106,2025-05-01
cliente_20223,2025-05-01
cliente_61497,2025-05-01
cliente_2312,2025-05-01
cliente_83609,2025-05-01
cliente_36538,2025-05-01
cliente_55898,2025-05-01
cliente_59853,2025-05-01
cliente_60934,2025-05-01
cliente_51259,2025-05-01
cliente_31821,2025-05-01
cliente_85685,2025-05-01
cliente_20390,2025-05-01
cliente_45396,2025-05-01
cliente_21502,2025-05-01
cliente_2990,2025-05-01
cliente_46727,2025-05-01
cliente_11739,2025-05-01
cliente_27980,2025-05-01
cliente_15006,2025-05-01
cliente_28258,2025-05-01
cliente_81114,2025-05-01
cliente_81577,2025-05-01
cliente_50471,2025-05-01
cliente_15701,2025-05-01
cliente_47274,2025-05-01
cliente_9287,2025-05-01
cliente_32986,2025-05-01
cliente_14996,2025-05-01
cliente_64697,2025-05-01
cliente_9599,2025-05-01
cliente_39192,2025-05-01
cliente_78575,2025-05-01
cliente_3507,2025-05-01
cliente_83074,2025-05-01
cliente_17646,2025-05-01
cliente_63648,2025-05-01
cliente_44763,2025-05-01
cliente_30596,2025-05-01
cliente_72740,2025-05-01
cliente_24858,2025-05-01
cliente_82233,2025-05-01
cliente_31410,2025-05-01
cliente_37757,2025-05-01
cliente_47241,2025-05-01
cliente_70353,2025-05-01
cliente_12002,2025-05-01
cliente_67493,2025-05-01
cliente_84734,2025-05-01
cliente_463,2025-05-01
cliente_45142,2025-05-01
cliente_21150,2025-05-01
cliente_4117,2025-05-01
cliente_76925,2025-05-01
cliente_69074,2025-05-01
cliente_20722,2025-05-01
cliente_8269,2025-05-01
cliente_15121,2025-05-01
cliente_61470,2025-05-01
cliente_48343,2025-05-01
cliente_31893,2025-05-01
cliente_76003,2025-05-01
cliente_48504,2025-05-01
cliente_70416,2025-05-01
cliente_1717,2025-05-01
cliente_55516,2025-05-01
cliente_23482,2025-05-01
cliente_45904,2025-05-01
cliente_83404,2025-05-01
cliente_29412,2025-05-01
cliente_67373,2025-05-01
cliente_30464,2025-05-01
cliente_73665,2025-05-01
cliente_48692,2025-05-01
cliente_86096,2025-05-01
cliente_28997,2025-05-01
cliente_65548,2025-05-01
cliente_8553,2025-05-01
cliente_10673,2025-05-01
cliente_78862,2025-05-01
cliente_82355,2025-05-01
cliente_42391,2025-05-01
cliente_81182,2025-05-01
cliente_20393,2025-05-01
cliente_45677,2025-05-01
cliente_39426,2025-05-01
cliente_66652,2025-05-01
cliente_20548,2025-05-01
cliente_74098,2025-05-01
cliente_51436,2025-05-01
cliente_15576,2025-05-01
cliente_4934,2025-05-01
cliente_40536,2025-05-01
cliente_50708,2025-05-01
cliente_36911,2025-05-01
cliente_19498,2025-05-01
cliente_53994,2025-05-01
cliente_85406,2025-05-01
cliente_4869,2025-05-01
cliente_45627,2025-05-01
cliente_57983,2025-05-01
cliente_19351,2025-05-01
cliente_41168,2025-05-01
cliente_51667,2025-05-01
cliente_28322,2025-05-01
cliente_13743,2025-05-01
cliente_44541,2025-05-01
cliente_47270,2025-05-01
cliente_55498,2025-05-01
cliente_58583,2025-05-01
cliente_23903,2025-05-01
cliente_20561,2025-05-01
cliente_30515,2025-05-01
cliente_26574,2025-05-01
cliente_37699,2025-05-01
cliente_8119,2025-05-01
cliente_43373,2025-05-01
cliente_39627,2025-05-01
cliente_61331,2025-05-01
cliente_8514,2025-05-01
cliente_49458,2025-05-01
cliente_61057,2025-05-01
cliente_72751,2025-05-01
cliente_50938,2025-05-01
cliente_24793,2025-05-01
cliente_12473,2025-05-01
cliente_27981,2025-05-01
cliente_46167,2025-05-01
cliente_18437,2025-05-01
cliente_21558,2025-05-01
cliente_74325,2025-05-01
cliente_82855,2025-05-01
cliente_86120,2025-05-01
cliente_60906,2025-05-01
cliente_18175,2025-05-01
cliente_47911,2025-05-01
cliente_39263,2025-05-01
cliente_37337,2025-05-01
cliente_53059,2025-05-01
cliente_35748,2025-05-01
cliente_32692,2025-05-01
cliente_47336,2025-05-01
cliente_66639,2025-05-01
cliente_5640,2025-05-01
cliente_34102,2025-05-01
cliente_76996,2025-05-01
cliente_78154,2025-05-01
cliente_20172,2025-05-01
cliente_54479,2025-05-01
cliente_31595,2025-05-01
cliente_64633,2025-05-01
cliente_26694,2025-05-01
cliente_55268,2025-05-01
cliente_65032,2025-05-01
cliente_57582,2025-05-01
cliente_76466,2025-05-01
cliente_26246,2025-05-01
cliente_63913,2025-05-01
cliente_23057,2025-05-01
cliente_73265,2025-05-01
cliente_19361,2025-05-01
cliente_27016,2025-05-01
cliente_85449,2025-05-01
cliente_77961,2025-05-01
cliente_21630,2025-05-01
cliente_85681,2025-05-01
cliente_35648,2025-05-01
cliente_26591,2025-05-01
cliente_24190,2025-05-01
cliente_30026,2025-05-01
cliente_84491,2025-05-01
cliente_43942,2025-05-01
cliente_44396,2025-05-01
cliente_45450,2025-05-01
cliente_26487,2025-05-01
cliente_15940,2025-05-01
cliente_52200,2025-05-01
cliente_653,2025-05-01
cliente_42848,2025-05-01
cliente_62852,2025-05-01
cliente_83502,2025-05-01
cliente_24983,2025-05-01
cliente_75946,2025-05-01
cliente_20213,2025-05-01
cliente_1618,2025-05-01
cliente_46342,2025-05-01
cliente_20516,2025-05-01
cliente_48431,2025-05-01
cliente_29007,2025-05-01
cliente_17002,2025-05-01
cliente_73045,2025-05-01
cliente_2843,2025-05-01
cliente_1313,2025-05-01
cliente_67004,2025-05-01
cliente_27289,2025-05-01
cliente_7858,2025-05-01
cliente_58137,2025-05-01
cliente_58152,2025-05-01
cliente_48629,2025-05-01
cliente_7954,2025-05-01
cliente_45646,2025-05-01
cliente_23932,2025-05-01
cliente_74515,2025-05-01
cliente_67614,2025-05-01
cliente_8631,2025-05-01
cliente_2754,2025-05-01
cliente_39606,2025-05-01
cliente_68093,2025-05-01
cliente_56329,2025-05-01
cliente_51477,2025-05-01
cliente_16848,2025-05-01
cliente_10190,2025-05-01
cliente_26085,2025-05-01
cliente_48336,2025-05-01
cliente_59132,2025-05-01
cliente_11062,2025-05-01
cliente_49735,2025-05-01
cliente_74092,2025-05-01
cliente_26637,2025-05-01
cliente_6209,2025-05-01
cliente_72558,2025-05-01
cliente_56422,2025-05-01
cliente_49470,2025-05-01
cliente_72204,2025-05-01
cliente_2313,2025-05-01
cliente_75361,2025-05-01
cliente_35879,2025-05-01
cliente_60580,2025-05-01
cliente_62845,2025-05-01
cliente_46081,2025-05-01
cliente_72,2025-05-01
cliente_2958,2025-05-01
cliente_79029,2025-05-01
cliente_39346,2025-05-01
cliente_77957,2025-05-01
cliente_64081,2025-05-01
cliente_42930,2025-05-01
cliente_34013,2025-05-01
cliente_167,2025-05-01
cliente_27379,2025-05-01
cliente_43376,2025-05-01
cliente_5769,2025-05-01
cliente_4458,2025-05-01
cliente_14756,2025-05-01
cliente_48612,2025-05-01
cliente_50542,2025-05-01
cliente_73781,2025-05-01
cliente_14835,2025-05-01
cliente_20988,2025-05-01
cliente_55471,2025-05-01
cliente_79998,2025-05-01
cliente_1852,2025-05-01
cliente_1901,2025-05-01
cliente_18121,2025-05-01
cliente_20238,2025-05-01
cliente_73594,2025-05-01
cliente_18223,2025-05-01
cliente_9927,2025-05-01
cliente_13152,2025-05-01
cliente_26486,2025-05-01
cliente_73974,2025-05-01
cliente_24743,2025-05-01
cliente_74841,2025-05-01
cliente_8312,2025-05-01
cliente_22303,2025-05-01
cliente_44101,2025-05-01
cliente_45483,2025-05-01
cliente_44813,2025-05-01
cliente_38327,2025-05-01
cliente_79845,2025-05-01
cliente_58794,2025-05-01
cliente_6648,2025-05-01
cliente_82572,2025-05-01
cliente_84028,2025-05-01
cliente_24452,2025-05-01
cliente_3728,2025-05-01
cliente_41570,2025-05-01
cliente_74259,2025-05-01
cliente_29953,2025-05-01
cliente_42259,2025-05-01
cliente_15481,2025-05-01
cliente_64702,2025-05-01
cliente_29204,2025-05-01
cliente_32138,2025-05-01
cliente_10153,2025-05-01
cliente_34916,2025-05-01
cliente_32997,2025-05-01
cliente_33894,2025-05-01
cliente_69759,2025-05-01
cliente_80029,2025-05-01
cliente_52337,2025-05-01
cliente_40808,2025-05-01
cliente_40667,2025-05-01
cliente_79246,2025-05-01
cliente_13817,2025-05-01
cliente_39254,2025-05-01
cliente_31802,2025-05-01
cliente_35406,2025-05-01
cliente_70769,2025-05-01
cliente_75709,2025-05-01
cliente_48399,2025-05-01
cliente_73640,2025-05-01
cliente_4219,2025-05-01
cliente_55654,2025-05-01
cliente_12077,2025-05-01
cliente_75960,2025-05-01
cliente_79413,2025-05-01
cliente_77483,2025-05-01
cliente_56550,2025-05-01
cliente_52159,2025-05-01
cliente_63459,2025-05-01
cliente_58531,2025-05-01
cliente_79790,2025-05-01
cliente_72177,2025-05-01
cliente_50033,2025-05-01
cliente_17068,2025-05-01
cliente_37088,2025-05-01
cliente_84361,2025-05-01
cliente_73066,2025-05-01
cliente_43977,2025-05-01
cliente_12832,2025-05-01
cliente_66654,2025-05-01
cliente_24810,2025-05-01
cliente_46686,2025-05-01
cliente_70704,2025-05-01
cliente_68044,2025-05-01
cliente_78406,2025-05-01
cliente_15311,2025-05-01
cliente_52973,2025-05-01
cliente_31675,2025-05-01
cliente_7702,2025-05-01
cliente_47973,2025-05-01
cliente_54038,2025-05-01
cliente_59286,2025-05-01
cliente_15546,2025-05-01
cliente_20309,2025-05-01
cliente_8450,2025-05-01
cliente_71519,2025-05-01
cliente_66911,2025-05-01
cliente_21475,2025-05-01
cliente_51557,2025-05-01
cliente_57073,2025-05-01
cliente_9379,2025-05-01
cliente_68827,2025-05-01
cliente_30721,2025-05-01
cliente_65907,2025-05-01
cliente_22274,2025-05-01
cliente_68986,2025-05-01
cliente_35136,2025-05-01
cliente_34358,2025-05-01
cliente_67742,2025-05-01
cliente_41788,2025-05-01
cliente_62828,2025-05-01
cliente_59966,2025-05-01
cliente_28551,2025-05-01
cliente_36056,2025-05-01
cliente_80124,2025-05-01
cliente_79715,2025-05-01
cliente_67997,2025-05-01
cliente_80032,2025-05-01
cliente_5405,2025-05-01
cliente_50402,2025-05-01
cliente_51431,2025-05-01
cliente_21202,2025-05-01
cliente_42957,2025-05-01
cliente_8869,2025-05-01
cliente_20441,2025-05-01
cliente_73918,2025-05-01
cliente_84820,2025-05-01
cliente_39233,2025-05-01
cliente_42412,2025-05-01
cliente_77944,2025-05-01
cliente_73447,2025-05-01
cliente_52731,2025-05-01
cliente_67543,2025-05-01
cliente_60029,2025-05-01
cliente_55517,2025-05-01
cliente_79228,2025-05-01
cliente_19317,2025-05-01
cliente_2368,2025-05-01
cliente_10530,2025-05-01
cliente_39298,2025-05-01
cliente_84794,2025-05-01
cliente_54274,2025-05-01
cliente_47757,2025-05-01
cliente_4964,2025-05-01
cliente_66292,2025-05-01
cliente_65063,2025-05-01
cliente_17597,2025-05-01
cliente_38178,2025-05-01
cliente_46374,2025-05-01
cliente_58788,2025-05-01
cliente_29080,2025-05-01
cliente_4974,2025-05-01
cliente_31445,2025-05-01
cliente_11980,2025-05-01
cliente_69738,2025-05-01
cliente_67741,2025-05-01
cliente_60303,2025-05-01
cliente_56871,2025-05-01
cliente_42423,2025-05-01
cliente_63337,2025-05-01
cliente_7419,2025-05-01
cliente_14867,2025-05-01
cliente_67424,2025-05-01
cliente_52840,2025-05-01
cliente_24701,2025-05-01
cliente_8902,2025-05-01
cliente_9225,2025-05-01
cliente_37058,2025-05-01
cliente_6925,2025-05-01
cliente_46427,2025-05-01
cliente_38032,2025-05-01
cliente_17131,2025-05-01
cliente_8096,2025-05-01
cliente_82974,2025-05-01
cliente_41167,2025-05-01
cliente_85649,2025-05-01
cliente_79985,2025-05-01
cliente_18857,2025-05-01
cliente_74292,2025-05-01
cliente_3902,2025-05-01
cliente_2753,2025-05-01
cliente_41467,2025-05-01
cliente_69225,2025-05-01
cliente_15884,2025-05-01
cliente_53862,2025-05-01
cliente_60645,2025-05-01
cliente_27841,2025-05-01
cliente_21025,2025-05-01
cliente_21397,2025-05-01
cliente_3608,2025-05-01
cliente_63803,2025-05-01
cliente_29176,2025-05-01
cliente_53873,2025-05-01
cliente_10555,2025-05-01
cliente_53642,2025-05-01
cliente_24292,2025-05-01
cliente_17098,2025-05-01
cliente_40164,2025-05-01
cliente_51132,2025-05-01
cliente_31172,2025-05-01
cliente_43995,2025-05-01
cliente_75567,2025-05-01
cliente_31152,2025-05-01
cliente_52649,2025-05-01
cliente_47076,2025-05-01
cliente_35737,2025-05-01
cliente_47264,2025-05-01
cliente_48644,2025-05-01
cliente_15629,2025-05-01
cliente_31013,2025-05-01
cliente_13544,2025-05-01
cliente_39656,2025-05-01
cliente_40037,2025-05-01
cliente_14780,2025-05-01
cliente_24205,2025-05-01
cliente_10625,2025-05-01
cliente_33468,2025-05-01
cliente_31369,2025-05-01
cliente_79219,2025-05-01
cliente_9452,2025-05-01
cliente_36465,2025-05-01
cliente_7072,2025-05-01
cliente_3980,2025-05-01
cliente_63315,2025-05-01
cliente_79986,2025-05-01
cliente_54629,2025-05-01
cliente_17748,2025-05-01
cliente_14822,2025-05-01
cliente_42922,2025-05-01
cliente_82263,2025-05-01
cliente_12284,2025-05-01
cliente_24979,2025-05-01
cliente_34654,2025-05-01
cliente_74901,2025-05-01
cliente_52094,2025-05-01
cliente_74883,2025-05-01
cliente_71812,2025-05-01
cliente_57260,2025-05-01
cliente_55787,2025-05-01
cliente_73469,2025-05-01
cliente_37412,2025-05-01
cliente_19351,2025-05-01
cliente_75302,2025-05-01
cliente_45919,2025-05-01
cliente_56919,2025-05-01
cliente_66924,2025-05-01
cliente_58505,2025-05-01
cliente_2738,2025-05-01
cliente_47122,2025-05-01
cliente_20276,2025-05-01
cliente_76402,2025-05-01
cliente_33406,2025-05-01
cliente_24892,2025-05-01
cliente_15398,2025-05-01
cliente_52918,2025-05-01
cliente_65066,2025-05-01
cliente_63516,2025-05-01
cliente_22353,2025-05-01
cliente_46494,2025-05-01
cliente_34904,2025-05-01
cliente_82165,2025-05-01
cliente_73853,2025-05-01
cliente_83137,2025-05-01
cliente_53501,2025-05-01
cliente_7316,2025-05-01
cliente_55461,2025-05-01
cliente_73248,2025-05-01
cliente_36310,2025-05-01
cliente_25536,2025-05-01
cliente_29360,2025-05-01
cliente_67484,2025-05-01
cliente_24290,2025-05-01
cliente_46452,2025-05-01
cliente_44922,2025-05-01
cliente_45763,2025-05-01
cliente_54036,2025-05-01
cliente_35580,2025-05-01
cliente_58470,2025-05-01
cliente_30281,2025-05-01
cliente_43554,2025-05-01
cliente_54433,2025-05-01
cliente_7138,2025-05-01
cliente_24723,2025-05-01
cliente_84896,2025-05-01
cliente_70003,2025-05-01
cliente_8274,2025-05-01
cliente_27489,2025-05-01
cliente_77029,2025-05-01
cliente_39591,2025-05-01
cliente_84152,2025-05-01
cliente_2250,2025-05-01
cliente_26921,2025-05-01
cliente_1813,2025-05-01
cliente_30716,2025-05-01
cliente_81357,2025-05-01
cliente_6928,2025-05-01
cliente_56130,2025-05-01
cliente_11669,2025-05-01
cliente_1607,2025-05-01
cliente_15573,2025-05-01
cliente_18514,2025-05-01
cliente_46678,2025-05-01
cliente_62754,2025-05-01
cliente_54285,2025-05-01
cliente_63108,2025-05-01
cliente_39393,2025-05-01
cliente_46500,2025-05-01
cliente_64731,2025-05-01
cliente_49862,2025-05-01
cliente_64481,2025-05-01
cliente_58535,2025-05-01
cliente_74778,2025-05-01
cliente_74296,2025-05-01
cliente_22936,2025-05-01
cliente_79972,2025-05-01
cliente_71647,2025-05-01
cliente_10239,2025-05-01
cliente_65575,2025-05-01
cliente_20210,2025-05-01
cliente_23864,2025-05-01
cliente_1021,2025-05-01
cliente_53225,2025-05-01
cliente_25151,2025-05-01
cliente_18194,2025-05-01
cliente_53855,2025-05-01
cliente_11361,2025-05-01
cliente_57704,2025-05-01
cliente_62594,2025-05-01
cliente_11046,2025-05-01
cliente_11226,2025-05-01
cliente_44598,2025-05-01
cliente_19912,2025-05-01
cliente_57614,2025-05-01
cliente_57168,2025-05-01
cliente_38702,2025-05-01
cliente_48899,2025-05-01
cliente_76905,2025-05-01
cliente_38197,2025-05-01
cliente_81235,2025-05-01
cliente_13634,2025-05-01
cliente_77650,2025-05-01
cliente_68781,2025-05-01
cliente_57426,2025-05-01
cliente_8273,2025-05-01
cliente_63073,2025-05-01
cliente_43406,2025-05-01
cliente_45629,2025-05-01
cliente_74283,2025-05-01
cliente_73265,2025-05-01
cliente_50252,2025-05-01
cliente_63276,2025-05-01
cliente_22130,2025-05-01
cliente_13965,2025-05-01
cliente_5368,2025-05-01
cliente_32872,2025-05-01
cliente_61784,2025-05-01
cliente_12637,2025-05-01
cliente_1779,2025-05-01
cliente_57323,2025-05-01
cliente_56025,2025-05-01
cliente_56990,2025-05-01
cliente_9717,2025-05-01
cliente_43105,2025-05-01
cliente_84854,2025-05-01
cliente_9835,2025-05-01
cliente_3754,2025-05-01
cliente_61766,2025-05-01
cliente_38851,2025-05-01
cliente_74035,2025-05-01
cliente_16580,2025-05-01
cliente_71059,2025-05-01
cliente_33972,2025-05-01
cliente_7814,2025-05-01
cliente_19865,2025-05-01
cliente_3695,2025-05-01
cliente_32517,2025-05-01
cliente_41521,2025-05-01
cliente_70532,2025-05-01
cliente_32051,2025-05-01
cliente_46364,2025-05-01
cliente_17347,2025-05-01
cliente_6017,2025-05-01
cliente_6165,2025-05-01
cliente_68470,2025-05-01
cliente_64498,2025-05-01
cliente_67335,2025-05-01
cliente_50886,2025-05-01
cliente_15960,2025-05-01
cliente_29821,2025-05-01
cliente_37748,2025-05-01
cliente_46094,2025-05-01
cliente_10098,2025-05-01
cliente_71735,2025-05-01
cliente_31005,2025-05-01
cliente_69840,2025-05-01
cliente_68671,2025-05-01
cliente_35502,2025-05-01
cliente_61688,2025-05-01
cliente_73319,2025-05-01
cliente_65771,2025-05-01
cliente_36175,2025-05-01
cliente_81760,2025-05-01
cliente_77008,2025-05-01
cliente_5302,2025-05-01
cliente_57335,2025-05-01
cliente_27629,2025-05-01
cliente_23040,2025-05-01
cliente_31662,2025-05-01
cliente_55484,2025-05-01
cliente_79395,2025-05-01
cliente_35362,2025-05-01
cliente_40128,2025-05-01
cliente_52470,2025-05-01
cliente_75063,2025-05-01
cliente_11213,2025-05-01
cliente_77878,2025-05-01
cliente_12188,2025-05-01
cliente_22853,2025-05-01
cliente_74615,2025-05-01
cliente_74276,2025-05-01
cliente_12259,2025-05-01
cliente_3034,2025-05-01
cliente_15899,2025-05-01
cliente_7123,2025-05-01
cliente_10458,2025-05-01
cliente_20684,2025-05-01
cliente_80086,2025-05-01
cliente_12359,2025-05-01
cliente_65927,2025-05-01
cliente_49556,2025-05-01
cliente_68896,2025-05-01
cliente_20373,2025-05-01
cliente_49506,2025-05-01
cliente_63745,2025-05-01
cliente_12645,2025-05-01
cliente_53292,2025-05-01
cliente_27189,2025-05-01
cliente_53100,2025-05-01
cliente_27216,2025-05-01
cliente_15800,2025-05-01
cliente_59095,2025-05-01
cliente_54676,2025-05-01
cliente_83624,2025-05-01
cliente_81739,2025-05-01
cliente_3725,2025-05-01
cliente_84152,2025-05-01
cliente_6295,2025-05-01
cliente_66903,2025-05-01
cliente_46503,2025-05-01
cliente_7478,2025-05-01
cliente_39594,2025-05-01
cliente_43884,2025-05-01
cliente_67688,2025-05-01
cliente_78878,2025-05-01
cliente_24247,2025-05-01
cliente_44856,2025-05-01
cliente_54776,2025-05-01
cliente_80075,2025-05-01
cliente_68753,2025-05-01
cliente_14683,2025-05-01
cliente_54967,2025-05-01
cliente_9601,2025-05-01
cliente_1348,2025-05-01
cliente_40536,2025-05-01
cliente_65451,2025-05-01
cliente_9377,2025-05-01
cliente_45845,2025-05-01
cliente_56806,2025-05-01
cliente_47270,2025-05-01
cliente_24254,2025-05-01
cliente_11342,2025-05-01
cliente_12227,2025-05-01
cliente_6992,2025-05-01
cliente_20696,2025-05-01
cliente_59191,2025-05-01
cliente_10063,2025-05-01
cliente_78121,2025-05-01
cliente_28697,2025-05-01
cliente_45556,2025-05-01
cliente_60634,2025-05-01
cliente_19020,2025-05-01
cliente_28126,2025-05-01
cliente_58038,2025-05-01
cliente_82333,2025-05-01
cliente_71865,2025-05-01
cliente_10775,2025-05-01
cliente_5097,2025-05-01
cliente_56813,2025-05-01
cliente_52316,2025-05-01
cliente_53799,2025-05-01
cliente_17606,2025-05-01
cliente_66066,2025-05-01
cliente_43606,2025-05-01
cliente_10735,2025-05-01
cliente_11670,2025-05-01
cliente_15494,2025-05-01
cliente_19786,2025-05-01
cliente_25801,2025-05-01
cliente_15721,2025-05-01
cliente_9568,2025-05-01
cliente_77549,2025-05-01
cliente_71402,2025-05-01
cliente_66461,2025-05-01
cliente_37094,2025-05-01
cliente_68031,2025-05-01
cliente_81772,2025-05-01
cliente_59210,2025-05-01
cliente_68713,2025-05-01
cliente_17201,2025-05-01
cliente_34816,2025-05-01
cliente_48292,2025-05-01
cliente_76725,2025-05-01
cliente_72874,2025-05-01
cliente_39178,2025-05-01
cliente_73758,2025-05-01
cliente_79960,2025-05-01
cliente_32818,2025-05-01
cliente_29940,2025-05-01
cliente_45060,2025-05-01
cliente_43097,2025-05-01
cliente_8437,2025-05-01
cliente_57981,2025-05-01
cliente_50291,2025-05-01
cliente_64196,2025-05-01
cliente_13960,2025-05-01
cliente_13814,2025-05-01
cliente_12963,2025-05-01
cliente_469,2025-05-01
cliente_31847,2025-05-01
cliente_34510,2025-05-01
cliente_48321,2025-05-01
cliente_55616,2025-05-01
cliente_49985,2025-05-01
cliente_42781,2025-05-01
cliente_43973,2025-05-01
cliente_76014,2025-05-01
cliente_31242,2025-05-01
cliente_76817,2025-05-01
cliente_2561,2025-05-01
cliente_22886,2025-05-01
cliente_62521,2025-05-01
cliente_23867,2025-05-01
cliente_22232,2025-05-01
cliente_74609,2025-05-01
cliente_40608,2025-05-01
cliente_42221,2025-05-01
cliente_53369,2025-05-01
cliente_74374,2025-05-01
cliente_73473,2025-05-01
cliente_29267,2025-05-01
cliente_7084,2025-05-01
cliente_34372,2025-05-01
cliente_55079,2025-05-01
cliente_85138,2025-05-01
cliente_13293,2025-05-01
cliente_17135,2025-05-01
cliente_69006,2025-05-01
cliente_22963,2025-05-01
cliente_65820,2025-05-01
cliente_83120,2025-05-01
cliente_2460,2025-05-01
cliente_1398,2025-05-01
cliente_29150,2025-05-01
cliente_18549,2025-05-01
cliente_33010,2025-05-01
cliente_56026,2025-05-01
cliente_21070,2025-05-01
cliente_75195,2025-05-01
cliente_62551,2025-05-01
cliente_68607,2025-05-01
cliente_13570,2025-05-01
cliente_73525,2025-05-01
cliente_59564,2025-05-01
cliente_34280,2025-05-01
cliente_32625,2025-05-01
cliente_73936,2025-05-01
cliente_41479,2025-05-01
cliente_20747,2025-05-01
cliente_74064,2025-05-01
cliente_32237,2025-05-01
cliente_51712,2025-05-01
cliente_35990,2025-05-01
cliente_6769,2025-05-01
cliente_37155,2025-05-01
cliente_3350,2025-05-01
cliente_67537,2025-05-01
cliente_32055,2025-05-01
cliente_50019,2025-05-01
cliente_11129,2025-05-01
cliente_37780,2025-05-01
cliente_60340,2025-05-01
cliente_60969,2025-05-01
cliente_11274,2025-05-01
cliente_44213,2025-05-01
cliente_70515,2025-05-01
cliente_49025,2025-05-01
cliente_71564,2025-05-01
cliente_74916,2025-05-01
cliente_22740,2025-05-01
cliente_6807,2025-05-01
cliente_63301,2025-05-01
cliente_41542,2025-05-01
cliente_21372,2025-05-01
cliente_50379,2025-05-01
cliente_19550,2025-05-01
cliente_52702,2025-05-01
cliente_46328,2025-05-01
cliente_63096,2025-05-01
cliente_27166,2025-05-01
cliente_49353,2025-05-01
cliente_56463,2025-05-01
cliente_45077,2025-05-01
cliente_80201,2025-05-01
cliente_50130,2025-05-01
cliente_26045,2025-05-01
cliente_24965,2025-05-01
cliente_80220,2025-05-01
cliente_82540,2025-05-01
cliente_45974,2025-05-01
cliente_48396,2025-05-01
cliente_29566,2025-05-01
cliente_53752,2025-05-01
cliente_56110,2025-05-01
cliente_54619,2025-05-01
cliente_55607,2025-05-01
cliente_39109,2025-05-01
cliente_59888,2025-05-01
cliente_39732,2025-05-01
cliente_77497,2025-05-01
cliente_26169,2025-05-01
cliente_19758,2025-05-01
cliente_37242,2025-05-01
cliente_84885,2025-05-01
cliente_80339,2025-05-01
cliente_38237,2025-05-01
cliente_32051,2025-05-01
cliente_25021,2025-05-01
cliente_9031,2025-05-01
cliente_14672,2025-05-01
cliente_33445,2025-05-01
cliente_16694,2025-05-01
cliente_75325,2025-05-01
cliente_48965,2025-05-01
cliente_62143,2025-05-01
cliente_32473,2025-05-01
cliente_66985,2025-05-01
cliente_66966,2025-05-01
cliente_34949,2025-05-01
cliente_58348,2025-05-01
cliente_55470,2025-05-01
cliente_13822,2025-05-01
cliente_18708,2025-05-01
cliente_37905,2025-05-01
cliente_85913,2025-05-01
cliente_71776,2025-05-01
cliente_74191,2025-05-01
cliente_19896,2025-05-01
cliente_75466,2025-05-01
cliente_48419,2025-05-01
cliente_35986,2025-05-01
cliente_28192,2025-05-01
cliente_84264,2025-05-01
cliente_77101,2025-05-01
cliente_17839,2025-05-01
cliente_58252,2025-05-01
cliente_41728,2025-05-01
cliente_19906,2025-05-01
cliente_18573,2025-05-01
cliente_43889,2025-05-01
cliente_75416,2025-05-01
cliente_68451,2025-05-01
cliente_8098,2025-05-01
cliente_54725,2025-05-01
cliente_45551,2025-05-01
cliente_7454,2025-05-01
cliente_40186,2025-05-01
cliente_32924,2025-05-01
cliente_8355,2025-05-01
cliente_64168,2025-05-01
